id,fecha,anio,vereda_referencia,codigo_ver_resuelto,nombre_capa_resuelto,tipo_conflicto,subtipo,confianza,precision_espacial,fuente,tipo_fuente,url,estado_territorial
PRC-2006-001,2006-02-25,2006,El Diamante,18592045,EL DIAMANTE,Conflicto armado,Masacre,ALTA,VEREDA,Rutas del Conflicto,Base documental de memoria/conflicto,https://rutasdelconflicto.com/masacres/puerto-rico-2006,VALIDADA_EN_CAPA
PRC-2013-001,2013-04-12,2013,Los Andes,18592117,LOS ANDES,Conflicto armado,Combate,MEDIA-ALTA,VEREDA,El Tiempo,Prensa,https://www.eltiempo.com/archivo/documento/CMS-12739482,VALIDADA_EN_CAPA
PRC-2015-001,2015-12-25,2015,Las Iglesias,18592109,LAS IGLESIAS,Conflicto armado,Combate,ALTA,VEREDA,Fuente oficial + prensa,Fuente oficial + prensa,https://www.eltiempo.com/archivo/documento/CMS-16493698,VALIDADA_EN_CAPA
PRC-2014-002,2014-12-25,2014,Las Iglesias,18592109,LAS IGLESIAS,Minas antipersona,Accidente / riesgo,ALTA,VEREDA,Fuente secundaria que reproduce monitoreo de Defensoría,Fuente secundaria,https://www.elcolombiano.com/colombia/minas-antipersonal-caqueta-puerto-rico-2014,VALIDADA_EN_CAPA
PRC-2014-001,2014-08-11,2014,La Ruidosa,18592099,LA RUIDOSA,Conflicto armado,Combate,ALTA,VEREDA,Fuente oficial,Fuente oficial,https://www.unidadvictimas.gov.co/,VALIDADA_EN_CAPA
PRC-2016-001,2016-05-01,2016,Alto de Londres,18592009,ALTO LONDRES,Conflicto armado,Acción armada,MEDIA-ALTA,VEREDA,Prensa con fuente institucional,Prensa,https://www.eltiempo.com/,VALIDADA_EN_CAPA
PRC-2016-002,2016-05-01,2016,Brisas,,LAS BRISAS,Conflicto armado,Acción armada,MEDIA-ALTA,VEREDA,El Tiempo,Prensa,https://www.eltiempo.com/,PENDIENTE
PRC-2016-003,2016-01-01,2016,La Pradera,,LA PRADERA,Conflicto armado,Acción armada,MEDIA-ALTA,VEREDA,El Espectador / Noticias Caracol,Prensa,https://www.elespectador.com/,PENDIENTE
PRC-2018-001,2018-12-05,2018,La Trocha,,LA TROCHA,Desplazamiento / afectación humanitaria,Desplazamiento,ALTA,VEREDA,Unidad para las Víctimas,Fuente oficial,https://www.unidadvictimas.gov.co/,VALIDADA_FUERA_DE_CAPA
PRC-2018-002,2018-12-05,2018,La Trocha,,LA TROCHA,Desplazamiento / afectación humanitaria,Retorno / afectación,ALTA,VEREDA,Unidad para las Víctimas,Fuente oficial,VALIDADA_FUERA_DE_CAPA
